,obs_id,eqt_code_cat
452,452,21
453,453,2
454,454,1
455,455,6
456,456,6
457,457,20
458,458,12
459,459,14
460,460,22
461,461,14
462,462,23
463,463,9
464,464,6
465,465,1
466,466,12
467,467,22
468,468,8
469,469,3
470,470,19
471,471,7
472,472,22
473,473,11
474,474,22
475,475,21
476,476,17
477,477,18
478,478,23
479,479,14
480,480,14
481,481,18
482,482,21
483,483,14
484,484,8
485,485,17
486,486,11
487,487,7
488,488,14
489,489,18
490,490,17
491,491,2
492,492,16
493,493,9
494,494,17
495,495,7
496,496,22
497,497,3
498,498,18
499,499,4
500,500,5
501,501,17
502,502,14
503,503,9
504,504,7
505,505,7
506,506,1
507,507,19
508,508,6
509,509,9
510,510,20
511,511,9
512,512,21
513,513,13
514,514,9
515,515,21
516,516,14
517,517,11
518,518,0
519,519,4
520,520,3
521,521,19
522,522,1
523,523,20
524,524,20
525,525,5
526,526,3
527,527,12
528,528,10
529,529,16
530,530,11
531,531,0
532,532,6
533,533,12
534,534,13
535,535,21
536,536,18
537,537,13
538,538,14
539,539,23
540,540,7
541,541,8
542,542,16
543,543,19
544,544,11
545,545,11
546,546,19
547,547,23
548,548,1
549,549,7
550,550,4
551,551,16
552,552,21
553,553,22
554,554,21
555,555,23
556,556,21
557,557,8
558,558,1
559,559,2
560,560,17
561,561,1
562,562,8
563,563,12
564,564,22
565,565,11
566,566,2
567,567,15
568,568,21
569,569,15
570,570,16
571,571,15
572,572,13
573,573,1
574,574,13
575,575,14
576,576,10
577,577,21
578,578,5
579,579,12
580,580,15
581,581,7
582,582,3
583,583,3
584,584,13
585,585,3
586,586,9
587,587,16
588,588,6
589,589,21
590,590,9
591,591,5
592,592,22
593,593,8
594,594,11
595,595,12
596,596,20
597,597,6
598,598,20
599,599,11
600,600,7
601,601,10
602,602,0
603,603,4
604,604,19
605,605,12
606,606,12
607,607,6
608,608,23
609,609,21
610,610,14
611,611,3
612,612,4
613,613,2
614,614,1
615,615,2
616,616,14
617,617,11
618,618,23
619,619,11
620,620,1
621,621,6
622,622,6
623,623,17
624,624,17
625,625,16
626,626,10
627,627,7
628,628,13
629,629,0
630,630,13
631,631,3
632,632,13
633,633,16
634,634,8
635,635,1
636,636,12
637,637,11
638,638,18
639,639,9
640,640,15
641,641,9
642,642,2
643,643,0
644,644,10
645,645,17
646,646,4
647,647,12
648,648,1
649,649,4
650,650,19
651,651,6
652,652,21
653,653,0
654,654,10
655,655,4
656,656,10
657,657,7
658,658,16
659,659,4
660,660,13
661,661,18
662,662,2
663,663,14
664,664,5
665,665,2
666,666,19
667,667,3
668,668,16
669,669,12
670,670,19
671,671,1
672,672,18
673,673,11
674,674,8
675,675,19
676,676,20
677,677,12
678,678,10
679,679,3
680,680,8
681,681,5
682,682,9
683,683,1
684,684,19
685,685,12
686,686,9
687,687,3
688,688,8
689,689,15
690,690,11
691,691,9
692,692,4
693,693,16
694,694,15
695,695,23
696,696,11
697,697,16
698,698,19
699,699,16
700,700,3
701,701,9
702,702,20
703,703,1
704,704,19
705,705,7
706,706,14
707,707,1
708,708,7
709,709,15
710,710,10
711,711,7
712,712,1
713,713,7
714,714,11
715,715,20
716,716,1
717,717,12
718,718,10
719,719,10
720,720,15
721,721,11
722,722,20
723,723,16
724,724,18
725,725,6
726,726,16
727,727,5
728,728,16
729,729,1
730,730,0
731,731,0
732,732,0
733,733,17
734,734,0
735,735,19
736,736,4
737,737,19
738,738,22
739,739,14
740,740,3
741,741,15
742,742,13
743,743,20
744,744,13
745,745,16
746,746,9
747,747,0
748,748,19
749,749,11
750,750,7
751,751,16
752,752,20
753,753,14
754,754,22
755,755,12
756,756,12
757,757,0
758,758,19
759,759,9
760,760,13
761,761,10
762,762,10
763,763,8
764,764,4
765,765,6
766,766,1
767,767,14
768,768,15
769,769,19
770,770,21
771,771,7
772,772,18
773,773,14
774,774,7
775,775,10
776,776,11
777,777,19
778,778,8
779,779,11
780,780,4
781,781,2
782,782,12
783,783,1
784,784,8
785,785,17
786,786,19
787,787,15
788,788,12
789,789,14
790,790,12
791,791,15
792,792,8
793,793,15
794,794,21
795,795,21
796,796,23
797,797,21
798,798,4
799,799,16
800,800,10
801,801,18
802,802,16
803,803,16
804,804,13
805,805,11
806,806,14
807,807,22
808,808,5
809,809,7
810,810,9
811,811,4
812,812,13
813,813,5
814,814,19
815,815,11
816,816,16
817,817,0
818,818,7
819,819,5
820,820,0
821,821,21
822,822,9
823,823,9
824,824,1
825,825,15
826,826,17
827,827,6
828,828,11
829,829,11
830,830,4
831,831,2
832,832,17
833,833,6
834,834,4
835,835,21
836,836,1
837,837,14
838,838,10
839,839,6
840,840,14
841,841,20
842,842,5
843,843,1
844,844,10
845,845,17
846,846,17
847,847,17
848,848,0
849,849,10
850,850,22
851,851,9
852,852,8
853,853,23
854,854,18
855,855,23
856,856,15
857,857,21
858,858,8
859,859,19
860,860,22
861,861,3
862,862,7
863,863,7
864,864,22
865,865,7
866,866,21
867,867,11
868,868,15
869,869,21
870,870,15
871,871,11
872,872,13
873,873,10
874,874,10
875,875,17
876,876,14
877,877,15
878,878,18
879,879,14
880,880,1
881,881,19
882,882,14
883,883,12
884,884,9
885,885,11
886,886,18
887,887,3
888,888,12
889,889,12
890,890,7
891,891,17
892,892,0
893,893,14
894,894,7
895,895,14
896,896,1
897,897,23
898,898,19
899,899,19
900,900,15
901,901,2
902,902,19
903,903,8
904,904,8
905,905,14
906,906,22
907,907,5
908,908,9
909,909,20
910,910,19
911,911,22
912,912,14
913,913,0
914,914,0
915,915,23
916,916,16
917,917,8
918,918,22
919,919,7
920,920,14
921,921,20
922,922,3
923,923,0
924,924,20
925,925,19
926,926,6
927,927,6
928,928,18
929,929,14
930,930,15
931,931,13
932,932,10
933,933,2
934,934,22
935,935,14
936,936,15
937,937,4
938,938,10
939,939,2
940,940,6
941,941,18
942,942,0
943,943,8
944,944,16
945,945,19
946,946,3
947,947,12
948,948,18
949,949,1
950,950,11
951,951,22
952,952,9
953,953,6
954,954,11
955,955,8
956,956,23
957,957,10
958,958,3
959,959,21
960,960,15
961,961,8
962,962,8
963,963,11
964,964,17
965,965,12
966,966,7
967,967,3
968,968,13
969,969,10
970,970,21
971,971,1
972,972,15
973,973,4
974,974,6
975,975,21
976,976,23
977,977,19
978,978,7
979,979,12
980,980,13
981,981,18
982,982,5
983,983,15
984,984,17
985,985,15
986,986,21
987,987,14
988,988,9
989,989,1
990,990,4
991,991,5
992,992,15
993,993,13
994,994,21
995,995,6
996,996,15
997,997,4
998,998,13
999,999,5
1000,1000,4
1001,1001,8
1002,1002,20
1003,1003,20
1004,1004,11
1005,1005,13
1006,1006,5
1007,1007,6
1008,1008,15
1009,1009,19
1010,1010,1
1011,1011,11
1012,1012,9
1013,1013,23
1014,1014,18
1015,1015,11
1016,1016,12
1017,1017,15
1018,1018,11
1019,1019,7
1020,1020,16
1021,1021,17
1022,1022,0
1023,1023,9
1024,1024,13
1025,1025,22
1026,1026,5
1027,1027,14
1028,1028,20
1029,1029,6
1030,1030,17
1031,1031,3
1032,1032,13
1033,1033,23
1034,1034,2
1035,1035,5
1036,1036,9
1037,1037,13
1038,1038,21
1039,1039,12
1040,1040,10
1041,1041,18
1042,1042,3
1043,1043,21
1044,1044,18
1045,1045,4
1046,1046,7
1047,1047,16
1048,1048,13
1049,1049,6
1050,1050,5
1051,1051,12
1052,1052,16
1053,1053,17
1054,1054,15
1055,1055,21
1056,1056,19
1057,1057,9
1058,1058,10
1059,1059,0
1060,1060,23
1061,1061,12
1062,1062,14
1063,1063,22
1064,1064,18
1065,1065,18
1066,1066,19
1067,1067,3
1068,1068,21
1069,1069,9
1070,1070,13
1071,1071,16
1072,1072,18
1073,1073,22
1074,1074,0
1075,1075,17
1076,1076,10
1077,1077,17
1078,1078,0
1079,1079,2
1080,1080,13
1081,1081,4
1082,1082,8
1083,1083,19
1084,1084,10
1085,1085,22
1086,1086,9
1087,1087,20
1088,1088,6
1089,1089,8
1090,1090,0
1091,1091,8
1092,1092,4
1093,1093,17
1094,1094,17
1095,1095,1
1096,1096,17
1097,1097,21
1098,1098,8
1099,1099,12
1100,1100,22
1101,1101,20
1102,1102,4
1103,1103,2
1104,1104,9
1105,1105,23
1106,1106,14
1107,1107,13
1108,1108,9
1109,1109,9
1110,1110,16
1111,1111,17
1112,1112,3
1113,1113,14
1114,1114,16
1115,1115,9
1116,1116,14
1117,1117,10
1118,1118,2
1119,1119,23
1120,1120,16
1121,1121,1
1122,1122,14
1123,1123,14
1124,1124,1
1125,1125,11
1126,1126,15
1127,1127,14
1128,1128,22
1129,1129,14
1130,1130,20
1131,1131,18
1132,1132,20
1133,1133,10
1134,1134,15
1135,1135,10
1136,1136,20
1137,1137,3
1138,1138,0
1139,1139,2
1140,1140,10
1141,1141,3
1142,1142,18
1143,1143,15
1144,1144,13
1145,1145,12
1146,1146,17
1147,1147,22
1148,1148,10
1149,1149,23
1150,1150,22
1151,1151,10
1152,1152,3
1153,1153,2
1154,1154,23
1155,1155,22
1156,1156,7
1157,1157,15
1158,1158,19
1159,1159,2
1160,1160,21
1161,1161,3
1162,1162,3
1163,1163,8
1164,1164,9
1165,1165,3
1166,1166,4
1167,1167,8
1168,1168,19
1169,1169,15
1170,1170,21
1171,1171,16
1172,1172,10
1173,1173,4
1174,1174,19
1175,1175,22
1176,1176,0
1177,1177,22
1178,1178,13
1179,1179,1
1180,1180,14
1181,1181,11
1182,1182,1
1183,1183,8
1184,1184,21
1185,1185,21
1186,1186,18
1187,1187,21
1188,1188,16
1189,1189,12
1190,1190,8
1191,1191,10
1192,1192,0
1193,1193,14
1194,1194,3
1195,1195,18
1196,1196,8
1197,1197,9
1198,1198,13
1199,1199,22
1200,1200,1
1201,1201,23
1202,1202,7
1203,1203,11
1204,1204,12
1205,1205,14
1206,1206,7
1207,1207,4
1208,1208,1
1209,1209,13
1210,1210,13
1211,1211,8
1212,1212,7
1213,1213,8
1214,1214,22
1215,1215,9
1216,1216,19
1217,1217,21
1218,1218,20
1219,1219,10
1220,1220,15
1221,1221,10
1222,1222,20
1223,1223,12
1224,1224,8
1225,1225,19
1226,1226,19
1227,1227,6
1228,1228,9
1229,1229,3
1230,1230,1
1231,1231,4
1232,1232,12
1233,1233,21
1234,1234,6
1235,1235,11
1236,1236,18
1237,1237,3
1238,1238,10
1239,1239,3
1240,1240,12
1241,1241,7
1242,1242,1
1243,1243,5
1244,1244,12
1245,1245,17
1246,1246,23
1247,1247,11
1248,1248,11
1249,1249,9
1250,1250,7
1251,1251,7
1252,1252,11
1253,1253,5
1254,1254,23
1255,1255,18
1256,1256,5
1257,1257,4
1258,1258,20
1259,1259,17
1260,1260,4
1261,1261,9
1262,1262,10
1263,1263,1
1264,1264,2
1265,1265,15
1266,1266,23
1267,1267,11
1268,1268,2
1269,1269,21
1270,1270,7
1271,1271,10
1272,1272,17
1273,1273,5
1274,1274,13
1275,1275,2
1276,1276,21
1277,1277,12
1278,1278,5
1279,1279,7
1280,1280,21
1281,1281,0
1282,1282,0
1283,1283,1
1284,1284,14
1285,1285,8
1286,1286,7
1287,1287,22
1288,1288,0
1289,1289,20
1290,1290,13
1291,1291,12
1292,1292,12
1293,1293,7
1294,1294,11
1295,1295,6
1296,1296,23
1297,1297,14
1298,1298,20
1299,1299,21
1300,1300,15
1301,1301,2
1302,1302,2
1303,1303,10
1304,1304,4
1305,1305,8
1306,1306,11
1307,1307,16
1308,1308,16
1309,1309,17
1310,1310,2
1311,1311,10
1312,1312,12
1313,1313,17
1314,1314,11
1315,1315,22
1316,1316,10
1317,1317,17
1318,1318,9
1319,1319,8
1320,1320,11
1321,1321,23
1322,1322,20
1323,1323,9
1324,1324,17
1325,1325,22
1326,1326,10
1327,1327,6
1328,1328,0
1329,1329,22
1330,1330,20
1331,1331,5
1332,1332,6
1333,1333,22
1334,1334,18
1335,1335,18
1336,1336,9
1337,1337,5
1338,1338,1
1339,1339,13
1340,1340,23
1341,1341,18
1342,1342,9
1343,1343,12
1344,1344,15
1345,1345,3
1346,1346,15
1347,1347,1
1348,1348,15
1349,1349,18
1350,1350,19
1351,1351,21
1352,1352,14
1353,1353,9
1354,1354,23
1355,1355,12
1356,1356,23
1357,1357,12
1358,1358,8
1359,1359,10
1360,1360,21
1361,1361,14
1362,1362,1
1363,1363,8
1364,1364,22
1365,1365,22
1366,1366,5
1367,1367,2
1368,1368,20
1369,1369,21
1370,1370,1
1371,1371,6
1372,1372,10
1373,1373,9
1374,1374,22
1375,1375,1
1376,1376,7
1377,1377,13
1378,1378,0
1379,1379,12
1380,1380,16
1381,1381,12
1382,1382,11
1383,1383,9
1384,1384,22
1385,1385,22
1386,1386,17
1387,1387,20
1388,1388,12
1389,1389,5
1390,1390,13
1391,1391,4
1392,1392,11
1393,1393,18
1394,1394,12
1395,1395,3
1396,1396,3
1397,1397,6
1398,1398,23
1399,1399,2
1400,1400,2
1401,1401,2
1402,1402,20
1403,1403,6
1404,1404,12
1405,1405,1
1406,1406,14
1407,1407,18
1408,1408,15
1409,1409,17
1410,1410,2
1411,1411,10
1412,1412,5
1413,1413,1
1414,1414,3
1415,1415,11
1416,1416,20
1417,1417,18
1418,1418,9
1419,1419,5
1420,1420,22
1421,1421,5
1422,1422,1
1423,1423,11
1424,1424,21
1425,1425,17
1426,1426,23
1427,1427,23
1428,1428,14
1429,1429,5
1430,1430,9
1431,1431,18
1432,1432,13
1433,1433,4
1434,1434,17
1435,1435,20
1436,1436,11
1437,1437,23
1438,1438,0
1439,1439,18
1440,1440,18
1441,1441,5
1442,1442,8
1443,1443,0
1444,1444,5
1445,1445,2
1446,1446,16
1447,1447,23
1448,1448,15
1449,1449,17
1450,1450,8
1451,1451,9
1452,1452,15
1453,1453,3
1454,1454,8
1455,1455,17
1456,1456,1
1457,1457,13
1458,1458,16
1459,1459,20
1460,1460,1
1461,1461,23
1462,1462,23
1463,1463,8
1464,1464,11
1465,1465,7
1466,1466,12
1467,1467,13
1468,1468,9
1469,1469,14
1470,1470,21
1471,1471,8
1472,1472,13
1473,1473,4
1474,1474,16
1475,1475,8
1476,1476,14
1477,1477,5
1478,1478,2
1479,1479,7
1480,1480,12
1481,1481,3
1482,1482,8
1483,1483,20
1484,1484,14
1485,1485,6
1486,1486,19
1487,1487,18
1488,1488,16
1489,1489,16
1490,1490,0
1491,1491,8
1492,1492,19
1493,1493,17
1494,1494,23
1495,1495,7
1496,1496,23
1497,1497,18
1498,1498,13
1499,1499,21
1500,1500,0
1501,1501,21
1502,1502,14
1503,1503,22
1504,1504,16
1505,1505,16
1506,1506,5
1507,1507,20
1508,1508,17
1509,1509,18
1510,1510,22
1511,1511,4
1512,1512,1
1513,1513,16
1514,1514,3
1515,1515,14
1516,1516,5
1517,1517,18
1518,1518,13
1519,1519,23
1520,1520,0
1521,1521,5
1522,1522,15
1523,1523,8
1524,1524,12
1525,1525,8
1526,1526,13
1527,1527,4
1528,1528,23
1529,1529,22
1530,1530,14
1531,1531,6
1532,1532,14
1533,1533,11
1534,1534,6
1535,1535,1
1536,1536,3
1537,1537,4
1538,1538,20
1539,1539,6
1540,1540,1
1541,1541,1
1542,1542,23
1543,1543,7
1544,1544,21
1545,1545,3
1546,1546,19
1547,1547,8
1548,1548,13
1549,1549,11
1550,1550,16
1551,1551,13
1552,1552,8
1553,1553,0
1554,1554,14
1555,1555,3
1556,1556,13
1557,1557,17
1558,1558,9
1559,1559,20
1560,1560,7
1561,1561,8
1562,1562,5
1563,1563,6
1564,1564,17
1565,1565,6
1566,1566,22
1567,1567,16
1568,1568,18
1569,1569,18
1570,1570,2
1571,1571,9
1572,1572,15
1573,1573,8
1574,1574,8
1575,1575,23
1576,1576,2
1577,1577,23
1578,1578,2
1579,1579,21
1580,1580,17
1581,1581,12
1582,1582,11
1583,1583,14
1584,1584,8
1585,1585,3
1586,1586,21
1587,1587,11
1588,1588,0
1589,1589,15
1590,1590,3
1591,1591,20
1592,1592,12
1593,1593,13
1594,1594,6
1595,1595,3
1596,1596,20
1597,1597,3
1598,1598,0
1599,1599,10
1600,1600,14
1601,1601,8
1602,1602,2
1603,1603,1
1604,1604,17
1605,1605,18
1606,1606,18
1607,1607,8
